name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dirk Nowitzki","Dallas Mavericks",2017-12-16,2017,609,1610612742,400975186,2,9,44,1,"Jump Shot","2PT Field Goal",17,"San Antonio Spurs",125,121,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-16,2017,609,1610612742,400975186,4,10,31,1,"Jump Shot","3PT Field Goal",25,"San Antonio Spurs",-19,257,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-10,2017,609,1610612742,400975349,4,7,20,1,"Jump Shot","2PT Field Goal",11,"Charlotte Hornets",92,76,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-10,2017,609,1610612742,400975349,4,8,16,1,"Jump Shot","2PT Field Goal",22,"Charlotte Hornets",-56,214,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-10,2017,609,1610612742,400975349,4,11,06,1,"Jump Shot","3PT Field Goal",26,"Charlotte Hornets",-93,252,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,2,10,43,1,"Jump Shot","3PT Field Goal",24,"Atlanta Hawks",-54,240,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,2,0,00,0,"Jump Shot","3PT Field Goal",25,"Atlanta Hawks",-65,247,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,1,9,54,0,"Jump Shot","3PT Field Goal",24,"Atlanta Hawks",8,246,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,1,10,22,1,"Jump Shot","3PT Field Goal",23,"Atlanta Hawks",-131,201,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,2,2,04,0,"Jump Shot","3PT Field Goal",25,"Atlanta Hawks",-142,216,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,2,2,14,0,"Jump Shot","2PT Field Goal",18,"Atlanta Hawks",-92,163,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,1,7,29,0,"Jump Shot","3PT Field Goal",24,"Atlanta Hawks",-53,239,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,2,1,39,0,"Jump Shot","3PT Field Goal",24,"Atlanta Hawks",24,247,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-26,2017,609,1610612742,400975467,1,7,05,0,"Jump Shot","2PT Field Goal",19,"Portland Trail Blazers",11,194,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-31,2017,0,1610612742,0,2,7,24,0,"Jump Shot","2PT Field Goal",14,"Oklahoma City Thunder",6,142,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-31,2017,0,1610612742,0,1,0,47,1,"Jump Shot","2PT Field Goal",13,"Oklahoma City Thunder",-2,130,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-31,2017,0,1610612742,0,4,7,56,0,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",22,243,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-31,2017,0,1610612742,0,3,10,24,1,"Jump Shot","2PT Field Goal",12,"Oklahoma City Thunder",-119,20,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-31,2017,0,1610612742,0,4,11,24,0,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",-203,145,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-31,2017,0,1610612742,0,4,10,32,1,"Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",145,204,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-09,2017,609,1610612742,400975347,4,8,50,1,"Jump Shot","2PT Field Goal",15,"Orlando Magic",-157,14,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,2,8,23,1,"Jump Shot","2PT Field Goal",21,"Boston Celtics",-154,150,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,2,9,37,1,"Jump Shot","3PT Field Goal",22,"Boston Celtics",-220,55,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,1,7,45,0,"Jump Shot","3PT Field Goal",26,"Boston Celtics",20,268,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,2,7,40,0,"Jump Shot","2PT Field Goal",17,"Boston Celtics",66,162,0,0.00,,0.00,0.00
